frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
65,2.7083333512396695,0.11635482621018178,5.239819315843621,0.18947771990741558,0.07211033950616752,1.2616001,1.0684171,0.18838402021018186,0.6647354207119244,0.7941646693225387,0.0,0.0,0.8097744587652687,0.22652853564110356,0.6967485285602586,0.560031845825158,False
66,2.7500000181818183,0.07609203886123839,3.774852912808642,0.25323013117284177,1.1383637152777766,1.0637633,1.2019552,0.12866826408630627,0.0,0.0,0.0,1.7707781832287262,0.07214300811401887,0.5750211003847675,0.0,0.19776396382504213,False
67,2.791666685123967,0.12011605878373843,5.114432388117284,0.6219782021604914,1.10425877700618,1.3319454,0.90081084,0.1885696536992716,0.7562887446162503,0.7035636604943519,1.6606529655156677,1.679100157270686,1.072055656732612,0.0,0.6998466237751388,0.8834754085353735,False
68,2.833333352066116,0.12216091434662879,5.306175572273663,0.13616512345679155,0.15756028163580993,1.3415483,0.81326616,0.18713671367265317,0.8060632055211854,0.8421118029164405,0.0,0.0,1.10785992330866,0.0,0.6759318406104966,0.6192007871249318,False
69,2.8750000190082647,0.07373252474358993,3.7680616640946503,0.30604552469135626,0.5019974922839481,0.93518114,1.0003839,0.11956850086641868,0.0,0.0,0.22854322047974934,0.060152037365392604,0.0,0.04898320604389092,0.0,0.03158514152071762,False
70,2.9166666859504136,0.15220496332302014,6.272915059156379,0.06598186728395206,0.2414168595678916,1.4627925,0.67846465,0.22106238722802474,1.5373746821555514,1.5406501144761713,0.0,0.0,1.5599168459888304,0.0,1.2421279909865774,1.082353407315684,True
71,2.958333352892562,0.0874966304837056,3.8365980259773664,0.681359953703705,2.146614101080246,1.024366,2.2761686,0.13897322574398574,0.0,0.0,1.9298279864207017,4.481072050518449,0.0,3.378380608162128,0.0,0.8217390113365164,False
72,3.0000000198347108,0.11448546300297313,5.068385095164609,0.057839023919754595,0.3615224729938262,1.2297117,0.8254904,0.1769156308990264,0.6192326734456031,0.6702912032217337,0.0,0.0,0.6908787811649603,0.0,0.5053490013440245,0.4546764343698441,False
73,3.0416666867768596,0.05038448729007483,2.725901491769547,0.45878327546296305,0.7760464891975403,0.69156235,1.2899156,0.0808284314880312,0.0,0.0,0.9208971202635249,0.7968274962898635,0.0,0.8045700165010858,0.0,0.22020151304962846,False
74,3.0833333537190084,0.16232630884585308,6.747739358281893,0.35711709104937484,1.4952179783950612,1.4888898,0.87561023,0.22339206193202243,1.783741479974513,1.883744576530465,0.4600485160429547,2.7300437927064634,1.6572201795972772,0.0,1.2810086589526577,1.4841180613248395,True
75,3.1250000206611572,0.10109352030298158,4.763508391203704,0.5226060956790093,0.5328419174382759,1.0260563,0.8137791,0.16388309273312351,0.2932552594615715,0.449996014178128,1.2102033215696706,0.14306542625471708,0.0,0.0,0.28784490589489453,0.3355499870699321,False
76,3.166666687603306,0.1536497822383679,6.370986529063786,0.2855671296296265,0.5041430362654324,1.4810641,1.0374194,0.2214763568355228,1.5725434656734627,1.6115137545062306,0.13571550362078735,0.06591950820091252,1.6280420691396045,0.14563444795436156,1.2490368589197534,1.144261166577279,True
